,,LsvmCg2Mce,LsvmCg3Mce,LsvmCpostMce,LsvmFwisMce,LsvmLfreqMce,LsvmMwfwMce,LsvmNrtMce,LsvmPosMce,LsvmPosg2Mce,LsvmPosg3Mce,LsvmPrepMce,LsvmScg2Mce,LsvmScg3Mce,LsvmSufMce,LsvmViwMce,LsvmWg2Mce,LsvmWsMce,MpCg2Mce,MpCg3Mce,MpCpostMce,MpFwisMce,MpLfreqMce,MpMwfwMce,MpNrtMce,MpPosMce,MpPosg2Mce,MpPosg3Mce,MpPrepMce,MpScg2Mce,MpScg3Mce,MpSufMce,MpViwMce,MpWg2Mce,MpWsMce,NndcosdCg2Mce,NndcosdCg3Mce,NndcosdCpostMce,NndcosdFwisMce,NndcosdLfreqMce,NndcosdMwfwMce,NndcosdNrtMce,NndcosdPosMce,NndcosdPosg2Mce,NndcosdPosg3Mce,NndcosdPrepMce,NndcosdScg2Mce,NndcosdScg3Mce,NndcosdSufMce,NndcosdViwMce,NndcosdWg2Mce,NndcosdWsMce,SmoCg2Mce,SmoCg3Mce,SmoCpostMce,SmoFwisMce,SmoLfreqMce,SmoMwfwMce,SmoNrtMce,SmoPosMce,SmoPosg2Mce,SmoPosg3Mce,SmoPrepMce,SmoScg2Mce,SmoScg3Mce,SmoSufMce,SmoViwMce,SmoWg2Mce,SmoWsMce,,Result,Max Support,Entropy,,Adams,Benezet,Burgh,Burke,Cartwright,Cassandra,Dickinson,Francis,Franklin,Hopkins,Hopkinson,Jefferson,Lafayette,Macauley,Mackintosh,Moore,Ogilvie,Paine,Price,Priestley,Rush,Spence,Wesley,Wilkes,Witherspoon,Wollstonecraft,Woolman,
CAUTION TO GREAT BRITAIN AND HER COLONIES,Benezet,Benezet,Benezet,Benezet,Hopkins,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Hopkinson,Benezet,Benezet,Benezet,Benezet,Cartwright,Benezet,Rush,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Mackintosh,Macauley,Benezet,Benezet,Benezet,Adams,Benezet,Cartwright,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Hopkinson,Franklin,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Hopkinson,Benezet,Benezet,,Benezet,0.910999,0.573477,,0.0271157,0.910999,0,0,0.0341133,0,0,0,0,0,0.0277717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
GUINEA sans quotes,Benezet,Benezet,Jefferson,Jefferson,Burgh,Jefferson,Jefferson,Jefferson,Rush,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Jefferson,Jefferson,Benezet,Jefferson,Benezet,Adams,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Witherspoon,Burgh,Benezet,Jefferson,Jefferson,Paine,Wollstonecraft,Jefferson,Jefferson,Benezet,Benezet,Benezet,Benezet,Jefferson,Benezet,Benezet,Benezet,Hopkinson,Adams,Benezet,Benezet,Benezet,Benezet,Jefferson,Jefferson,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,,Benezet,0.70785,1.26958,,0,0.70785,0,0,0,0,0,0,0,0,0,0.203805,0,0,0,0,0,0.0271157,0,0,0.0314892,0,0,0,0,0.0297398,0,
MIGHTY DESTROYER DISPLAYED sans quotes,Benezet,Paine,Jefferson,Benezet,Hopkinson,Priestley,Priestley,Priestley,Benezet,Benezet,Cartwright,Burke,Burke,Witherspoon,Hopkinson,Priestley,Priestley,Priestley,Adams,Benezet,Wollstonecraft,Burgh,Burke,Priestley,Priestley,Wollstonecraft,Benezet,Benezet,Witherspoon,Wollstonecraft,Priestley,Hopkinson,Cartwright,Benezet,Priestley,Priestley,Jefferson,Benezet,Burgh,Burke,Burke,Burke,Cartwright,Wollstonecraft,Paine,Priestley,Wollstonecraft,Jefferson,Benezet,Jefferson,Jefferson,Burke,Burke,Adams,Hopkinson,Burgh,Cartwright,Priestley,Priestley,Cartwright,Benezet,Benezet,Witherspoon,Burke,Priestley,Hopkinson,Cartwright,Priestley,Priestley,,Priestley,0.343757,2.65692,,0.0295211,0.188279,0,0.0868139,0.144544,0,0,0,0,0,0,0.0293024,0,0,0,0,0,0.0293024,0,0.343757,0,0,0,0,0.0297398,0.11874,0,
SOME OBSERVATIONS ON THE SITUATION sans quotes,Benezet,Benezet,Benezet,Moore,Dickinson,Benezet,Benezet,Benezet,Priestley,Witherspoon,Burke,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Paine,Jefferson,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Spence,Benezet,Benezet,Benezet,Benezet,Jefferson,Jefferson,Benezet,Benezet,Benezet,Jefferson,Benezet,Jefferson,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Benezet,Hopkinson,Jefferson,Benezet,Benezet,Benezet,Benezet,Benezet,Witherspoon,Benezet,Benezet,Benezet,Benezet,Cartwright,Jefferson,Benezet,,Benezet,0.850208,0.956553,,0,0.850208,0,0,0.0277717,0,0,0,0,0,0,0.0271157,0,0,0,0,0,0,0,0.0314892,0,0.0306145,0,0,0.0328012,0,0,
THOUGHTS ON THE NATURE OF WAR,Benezet,Priestley,Moore,Adams,Ogilvie,Hopkinson,Hopkinson,Adams,Benezet,Benezet,Benezet,Rush,Moore,Moore,Wilkes,Moore,Benezet,Hopkinson,Cartwright,Moore,Cartwright,Macauley,Hopkinson,Wesley,Burke,Hopkinson,Benezet,Witherspoon,Hopkinson,Adams,Cartwright,Wollstonecraft,Priestley,Adams,Burke,Hopkins,Cartwright,Witherspoon,Macauley,Cartwright,Cartwright,Cartwright,Paine,Benezet,Price,Benezet,Hopkins,Cartwright,Wilkes,Moore,Benezet,Cartwright,Adams,Moore,Cartwright,Ogilvie,Burke,Burke,Hopkinson,Cartwright,Benezet,Cartwright,Rush,Moore,Moore,Wilkes,Adams,Adams,Hopkinson,,Hopkinson,0.200087,3.14558,,0.112618,0.161382,0,0.115242,0.0922808,0,0,0,0,0.0273344,0.200087,0,0,0,0,0.147168,0,0.0271157,0,0.0599169,0,0,0.0299585,0,0.026897,0,0,
letters,Benezet,Cartwright,Burke,Benezet,Lafayette,Franklin,Witherspoon,Burke,Benezet,Burke,Burke,Franklin,Benezet,Cartwright,Priestley,Hopkinson,Burke,Burke,Cartwright,Priestley,Wollstonecraft,Hopkinson,Jefferson,Jefferson,Jefferson,Wollstonecraft,Franklin,Cartwright,Benezet,Cartwright,Witherspoon,Priestley,Burke,Wilkes,Jefferson,Priestley,Witherspoon,Benezet,Lafayette,Wilkes,Witherspoon,Burke,Cartwright,Burke,Ogilvie,Dickinson,Moore,Witherspoon,Wollstonecraft,Priestley,Wilkes,Burke,Cartwright,Burke,Burke,Hopkinson,Burke,Benezet,Burke,Cartwright,Burke,Ogilvie,Burke,Cartwright,Franklin,Priestley,Burke,Burke,Burke,,Burke,0.322327,2.69872,,0,0.0920621,0,0.322327,0.231358,0,0,0,0.0896567,0,0,0.115898,0,0,0,0.0273344,0,0,0,0.0297398,0,0,0,0,0.0592609,0.0323639,0,
Corruption,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Jefferson,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,,Burgh,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Courts,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Paine,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Franklin,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burke,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,,Burgh,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Of Governments,Burgh,Adams,Adams,Adams,Jefferson,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Adams,Priestley,Adams,Adams,Adams,Adams,Adams,Mackintosh,Mackintosh,Adams,Adams,Adams,Adams,Adams,Adams,Burgh,Adams,Adams,Benezet,Adams,Adams,Adams,Burgh,Adams,Adams,Franklin,Adams,Adams,Adams,Burgh,Adams,Adams,Adams,Cartwright,Adams,Benezet,Adams,Macauley,Adams,Adams,Adams,Adams,Mackintosh,Adams,Adams,Mackintosh,Burgh,Adams,Adams,Burgh,Adams,Adams,Priestley,Hopkinson,Adams,Adams,,Adams,0.858955,0.855757,,0.858955,0,0.0586049,0,0.0273344,0,0,0,0,0,0.0277717,0,0,0,0.0273344,0,0,0,0,0,0,0,0,0,0,0,0,
Of Parliaments,Burgh,Burgh,Burgh,Adams,Paine,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Priestley,Burgh,Burgh,Burgh,Burgh,Burgh,Jefferson,Wesley,Adams,Burgh,Adams,Priestley,Burgh,Burgh,Burgh,Burgh,Burgh,Adams,Hopkinson,Burke,Adams,Burgh,Burgh,Adams,Priestley,Mackintosh,Mackintosh,Mackintosh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Mackintosh,Burgh,Burgh,Adams,Priestley,Burgh,Burgh,Adams,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,,Burgh,0.823748,0.900506,,0.113274,0,0.823748,0,0,0,0,0,0,0,0.0306145,0,0,0,0,0,0,0,0,0.0323639,0,0,0,0,0,0,0,
