,,LsvmCg2Mce,LsvmCg3Mce,LsvmCpostMce,LsvmFwisMce,LsvmLfreqMce,LsvmMwfwMce,LsvmNrtMce,LsvmPosMce,LsvmPosg2Mce,LsvmPosg3Mce,LsvmPrepMce,LsvmScg2Mce,LsvmScg3Mce,LsvmSufMce,LsvmViwMce,LsvmWg2Mce,LsvmWsMce,MpCg2Mce,MpCg3Mce,MpCpostMce,MpFwisMce,MpLfreqMce,MpMwfwMce,MpNrtMce,MpPosMce,MpPosg2Mce,MpPosg3Mce,MpPrepMce,MpScg2Mce,MpScg3Mce,MpSufMce,MpViwMce,MpWg2Mce,MpWsMce,NndcosdCg2Mce,NndcosdCg3Mce,NndcosdCpostMce,NndcosdFwisMce,NndcosdLfreqMce,NndcosdMwfwMce,NndcosdNrtMce,NndcosdPosMce,NndcosdPosg2Mce,NndcosdPosg3Mce,NndcosdPrepMce,NndcosdScg2Mce,NndcosdScg3Mce,NndcosdSufMce,NndcosdViwMce,NndcosdWg2Mce,NndcosdWsMce,SmoCg2Mce,SmoCg3Mce,SmoCpostMce,SmoFwisMce,SmoLfreqMce,SmoMwfwMce,SmoNrtMce,SmoPosMce,SmoPosg2Mce,SmoPosg3Mce,SmoPrepMce,SmoScg2Mce,SmoScg3Mce,SmoSufMce,SmoViwMce,SmoWg2Mce,SmoWsMce,,Result,Max Support,Entropy,,Adams,Benezet,Burgh,Burke,Cartwright,Cassandra,Dickinson,Francis,Franklin,Hopkins,Hopkinson,Jefferson,Lafayette,Macauley,Mackintosh,Moore,Ogilvie,Paine,Price,Priestley,Rush,Spence,Wesley,Wilkes,Witherspoon,Wollstonecraft,Woolman,
Prudence,Burgh,Burgh,Burgh,Price,Priestley,Burgh,Wollstonecraft,Burgh,Burgh,Burgh,Burgh,Witherspoon,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Price,Burke,Hopkins,Witherspoon,Burgh,Wollstonecraft,Wesley,Price,Burgh,Paine,Paine,Burgh,Burgh,Franklin,Burgh,Price,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burke,Price,Price,Priestley,Paine,Wollstonecraft,Wesley,Price,Price,Paine,Paine,Burke,Price,Burke,Adams,Wollstonecraft,Wollstonecraft,,Burgh,0.533567,2.10295,,0.0277717,0,0.533567,0.0577302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05445,0.154384,0,0,0,0.0559808,0,0,0.116116,0,
Prudence 2,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Price,Rush,Price,Burgh,Burgh,Cassandra,Rush,Priestley,Price,Ogilvie,Burgh,Price,Burgh,Hopkins,Burgh,Spence,Cassandra,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Paine,Burgh,Burgh,Burgh,Paine,Burgh,Burgh,Paine,Hopkinson,Price,Burgh,Burgh,Burgh,Burgh,Price,Price,Cartwright,Burgh,Paine,Paine,Priestley,Burgh,Spence,Burgh,,Burgh,0.609884,1.86829,,0,0,0.609884,0,0,0.0590422,0,0,0,0,0,0,0,0,0,0,0.026897,0.0557621,0.157665,0.0323639,0.0583862,0,0,0,0,0,0,
Representation,Burgh,Burgh,Burgh,Paine,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Paine,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Hopkinson,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,,Burgh,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
States,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Jefferson,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Price,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,Burgh,,Burgh,1,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CONNEXION OF GREAT BRITAIN WITH INDIA,Burke,Burke,Burke,Mackintosh,Adams,Mackintosh,Benezet,Burgh,Mackintosh,Burke,Mackintosh,Benezet,Burke,Burke,Jefferson,Benezet,Benezet,Burgh,Paine,Jefferson,Benezet,Burke,Lafayette,Benezet,Wilkes,Macauley,Burke,Mackintosh,Franklin,Paine,Burke,Jefferson,Burke,Benezet,Wilkes,Jefferson,Jefferson,Burke,Burke,Jefferson,Jefferson,Jefferson,Burke,Burke,Burke,Jefferson,Burke,Jefferson,Jefferson,Burke,Jefferson,Jefferson,Cartwright,Macauley,Cartwright,Burke,Mackintosh,Burke,Mackintosh,Jefferson,Burke,Jefferson,Franklin,Ogilvie,Benezet,Burke,Hopkinson,Adams,Mackintosh,,Burke,0.395145,2.81719,,0,0.0857205,0.0557621,0.395145,0.0279904,0,0,0,0,0,0.0277717,0.061229,0.0282091,0.0323639,0.169254,0,0,0.0588235,0,0,0,0,0,0.0577302,0,0,0,
EFFECT OF THE REVENUE INVESTMENT ON THE COMPANY,Burke,Burke,Macauley,Burke,Burgh,Macauley,Macauley,Macauley,Jefferson,Burke,Jefferson,Dickinson,Burke,Burke,Burke,Burke,Jefferson,Burgh,Jefferson,Witherspoon,Jefferson,Burke,Burke,Burke,Burke,Jefferson,Macauley,Burke,Dickinson,Burke,Burke,Burke,Burke,Hopkinson,Jefferson,Burke,Jefferson,Cartwright,Burgh,Burgh,Burgh,Burgh,Jefferson,Burke,Burke,Paine,Burke,Jefferson,Witherspoon,Burke,Burke,Burgh,Burke,Macauley,Jefferson,Burke,Burke,Burke,Burke,Jefferson,Burke,Jefferson,Jefferson,Burke,Burke,Burke,Burke,Burke,Burke,,Burke,0.614258,1.58057,,0,0,0.0282091,0.614258,0,0,0,0,0,0,0,0.181063,0,0.146731,0,0,0,0,0,0,0,0,0,0,0.0297398,0,0,
Letters 1,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Cartwright,Burke,Lafayette,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,,Burke,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Letters 2,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Moore,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,,Burke,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Letters 3,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Francis,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,,Burke,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Letters 4,Burke,Burke,Burke,Wesley,Cassandra,Burke,Burke,Burke,Burke,Rush,Woolman,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Woolman,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Woolman,Burke,Burke,Burke,Burke,Burke,Burke,Burke,,Burke,0.940302,0.385522,,0,0,0,0.940302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0328012,0,0,0,0,0,0.026897,
Letters 5,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Jefferson,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Paine,Burke,Burke,Paine,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,,Burke,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Reflections on the Revolution in France 1,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Priestley,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Hopkinson,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Priestley,Burke,Burke,Burke,Burke,Burke,Burke,,Burke,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Reflections on the Revolution in France 2,Burke,Burke,Burke,Hopkinson,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Priestley,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Paine,Burke,Burke,Burke,Burke,Burke,Burke,Macauley,Burke,Burke,Burke,Benezet,Burgh,Burke,Burke,Burke,Hopkinson,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Priestley,Burke,Burke,Burke,Burke,Burke,Burke,,Burke,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Reflections on the Revolution in France 3,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Cartwright,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Mackintosh,Burke,Burke,Burke,Burke,Burke,Burke,Hopkinson,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Jefferson,Burke,Burke,Burke,Burke,Burke,Burke,Price,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Hopkinson,Burke,Burke,Burke,Burke,Burke,Burke,Burke,Hopkinson,Burke,Burke,Burke,Burke,Burke,Burke,,Burke,1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Reflections on the Revolution in France 4,Burke,Paine,Cartwright,Price,Cartwright,Cartwright,Burke,Cartwright,Cartwright,Burke,Rush,Burke,Paine,Cartwright,Jefferson,Cartwright,Cartwright,Cartwright,Burke,Price,Witherspoon,Paine,Benezet,Burke,Burke,Burke,Paine,Burke,Adams,Price,Burke,Priestley,Burke,Rush,Burke,Paine,Price,Witherspoon,Dickinson,Burke,Burke,Burke,Price,Burke,Burke,Priestley,Burke,Paine,Jefferson,Hopkinson,Paine,Burke,Burke,Cartwright,Hopkinson,Jefferson,Burke,Burke,Burke,Burke,Burke,Burke,Adams,Burke,Cartwright,Priestley,Cartwright,Cartwright,Burke,,Burke,0.561994,1.72528,,0,0.0282091,0,0.561994,0.229609,0,0,0,0,0,0,0,0,0,0,0,0,0.0940302,0.0861579,0,0,0,0,0,0,0,0,
LETTER I,Cartwright,Cartwright,Cartwright,Burke,Witherspoon,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Moore,Cartwright,Cartwright,Cartwright,Benezet,Burke,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Moore,Cartwright,Cartwright,Cartwright,Burke,Cartwright,Price,Cartwright,Burke,Cartwright,Cartwright,Witherspoon,Cartwright,Burke,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Burke,Paine,Paine,Burgh,Cartwright,Cartwright,Cartwright,Cartwright,Macauley,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,,Cartwright,0.973103,0.178583,,0,0,0,0,0.973103,0,0,0,0,0,0,0,0,0,0,0.026897,0,0,0,0,0,0,0,0,0,0,0,
LETTER II,Cartwright,Paine,Priestley,Burke,Mackintosh,Benezet,Benezet,Burke,Burke,Paine,Paine,Adams,Paine,Paine,Hopkins,Dickinson,Burgh,Burke,Benezet,Hopkinson,Cartwright,Price,Cartwright,Benezet,Cartwright,Paine,Benezet,Rush,Cartwright,Cartwright,Wesley,Hopkins,Priestley,Wesley,Benezet,Priestley,Priestley,Moore,Mackintosh,Burke,Burke,Burke,Burke,Priestley,Paine,Macauley,Paine,Jefferson,Burke,Dickinson,Burke,Burke,Cartwright,Hopkinson,Hopkinson,Priestley,Cartwright,Cartwright,Cartwright,Paine,Benezet,Hopkinson,Cartwright,Cartwright,Burke,Priestley,Priestley,Mackintosh,Cartwright,,Cartwright,0.227203,2.64604,,0,0.211677,0,0.142139,0.227203,0,0,0,0,0,0.0297398,0,0,0,0,0,0,0.213645,0,0.117428,0.026897,0,0.0312705,0,0,0,0,
LETTER III,Cartwright,Cassandra,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Ogilvie,Burke,Cartwright,Cartwright,Cartwright,Cartwright,Adams,Cartwright,Cassandra,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Spence,Cartwright,Burgh,Cartwright,Priestley,Cartwright,Spence,Cartwright,Paine,Burke,Cartwright,Burke,Burke,Burke,Burke,Cartwright,Cartwright,Benezet,Burke,Franklin,Burke,Dickinson,Priestley,Adams,Burke,Cartwright,Cartwright,Hopkinson,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Priestley,Cartwright,Cartwright,Cartwright,Priestley,Cartwright,Adams,Cartwright,,Cartwright,0.857643,0.86194,,0,0,0.0293024,0,0.857643,0.0588235,0,0,0.0273344,0,0,0,0,0,0,0,0,0,0,0,0,0.026897,0,0,0,0,0,
LETTER IV,Cartwright,Cartwright,Priestley,Spence,Burke,Burke,Cartwright,Cartwright,Spence,Cartwright,Priestley,Burke,Cartwright,Priestley,Cassandra,Cartwright,Cartwright,Priestley,Cartwright,Cartwright,Moore,Burke,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Priestley,Cartwright,Cartwright,Hopkinson,Cartwright,Cartwright,Wollstonecraft,Paine,Macauley,Burke,Priestley,Priestley,Priestley,Cartwright,Cartwright,Priestley,Cartwright,Priestley,Franklin,Burke,Hopkins,Priestley,Cartwright,Priestley,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Witherspoon,Cartwright,Priestley,Franklin,Witherspoon,Franklin,Cartwright,,Cartwright,0.739558,1.20451,,0,0,0,0.0277717,0.739558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173409,0,0.0314892,0,0,0.0277717,0,0,
LETTER IX,Cartwright,Cartwright,Hopkinson,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Burke,Cartwright,Cartwright,Cartwright,Priestley,Witherspoon,Cartwright,Cartwright,Hopkins,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Macauley,Cartwright,Cartwright,Paine,Wilkes,Wollstonecraft,Cartwright,Priestley,Cartwright,Cartwright,Cartwright,Woolman,Paine,Burke,Cartwright,Moore,Francis,Cartwright,Cartwright,Burke,Hopkinson,Cartwright,Hopkinson,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Burke,Cartwright,Cartwright,Macauley,Cartwright,,Cartwright,0.800131,1.05704,,0,0,0,0.112836,0.800131,0,0,0,0,0,0.0293024,0,0,0,0,0,0,0,0,0.0282091,0,0,0,0,0.0295211,0,0,
LETTER V,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Burke,Cartwright,Cartwright,Priestley,Benezet,Rush,Cartwright,Cartwright,Cartwright,Cartwright,Rush,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Jefferson,Cartwright,Cartwright,Cartwright,Cartwright,Cassandra,Cartwright,Ogilvie,Price,Cartwright,Priestley,Price,Price,Benezet,Cartwright,Cartwright,Priestley,Priestley,Cartwright,Paine,Cartwright,Price,Paine,Price,Cartwright,Cartwright,Cartwright,Moore,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Price,Cartwright,Cartwright,Cartwright,Cartwright,Rush,Cartwright,,Cartwright,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LETTER VI,Cartwright,Priestley,Priestley,Cartwright,Price,Jefferson,Franklin,Franklin,Cartwright,Cartwright,Priestley,Burke,Priestley,Priestley,Cartwright,Franklin,Wesley,Franklin,Jefferson,Priestley,Cartwright,Macauley,Dickinson,Dickinson,Dickinson,Cartwright,Cartwright,Cartwright,Hopkinson,Priestley,Cartwright,Cartwright,Hopkinson,Wilkes,Price,Priestley,Priestley,Priestley,Macauley,Dickinson,Paine,Dickinson,Priestley,Cartwright,Priestley,Paine,Priestley,Priestley,Burke,Burke,Burke,Paine,Burke,Priestley,Hopkinson,Priestley,Price,Hopkinson,Dickinson,Cartwright,Cartwright,Cartwright,Hopkinson,Cartwright,Hopkinson,Cassandra,Hopkinson,Burke,Price,,Cartwright,0.283403,2.70531,,0,0,0,0.0279904,0.283403,0,0.114148,0,0.0837525,0,0.116116,0.0572928,0,0,0,0,0,0,0.0848458,0.232451,0,0,0,0,0,0,0,
LETTER VII,Cartwright,Cartwright,Burke,Cartwright,Hopkins,Adams,Hopkinson,Adams,Paine,Macauley,Wilkes,Burke,Cartwright,Price,Burke,Paine,Jefferson,Paine,Price,Cartwright,Cartwright,Dickinson,Burke,Cartwright,Adams,Cartwright,Burke,Wilkes,Franklin,Cartwright,Price,Burke,Burke,Jefferson,Cartwright,Burke,Burke,Burke,Burgh,Paine,Paine,Paine,Paine,Burke,Wilkes,Priestley,Burke,Price,Burke,Price,Jefferson,Paine,Cartwright,Burke,Cartwright,Dickinson,Cartwright,Cartwright,Adams,Paine,Paine,Hopkinson,Cartwright,Cartwright,Burke,Burke,Mackintosh,Burke,Cartwright,,Cartwright,0.324076,2.66607,,0.111305,0,0,0.207085,0.324076,0,0,0,0,0,0.0279904,0,0,0.0328012,0.0277717,0,0,0.151542,0.0905314,0,0,0,0,0.026897,0,0,0,
LETTER VIII,Cartwright,Cartwright,Cartwright,Spence,Priestley,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Hopkinson,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Burke,Franklin,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Wilkes,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Priestley,Moore,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Adams,Priestley,Cartwright,Cartwright,Moore,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Burke,Burke,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Hopkinson,Cartwright,Cartwright,Cartwright,,Cartwright,1,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LETTER X,Cartwright,Cartwright,Cartwright,Cartwright,Dickinson,Hopkinson,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Hopkinson,Cartwright,Cartwright,Witherspoon,Cartwright,Wollstonecraft,Cartwright,Cartwright,Cartwright,Cartwright,Dickinson,Hopkinson,Hopkinson,Hopkinson,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Wilkes,Burke,Cassandra,Hopkinson,Cartwright,Cartwright,Cartwright,Dickinson,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Witherspoon,Cartwright,Cartwright,Cartwright,Moore,Wollstonecraft,Cartwright,Cartwright,Cartwright,Cartwright,Dickinson,Hopkinson,Hopkinson,Hopkinson,Cartwright,Cartwright,Cartwright,Wollstonecraft,Cartwright,Cartwright,Witherspoon,Burke,Cassandra,Hopkinson,,Cartwright,0.68489,1.11689,,0,0,0,0.0583862,0.68489,0,0,0,0,0,0.256724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LETTER XI,Cartwright,Cartwright,Cartwright,Cartwright,Burgh,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Jefferson,Cartwright,Cartwright,Cartwright,Benezet,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Burgh,Dickinson,Jefferson,Dickinson,Cartwright,Cartwright,Benezet,Cartwright,Cartwright,Cartwright,Burke,Lafayette,Rush,Jefferson,Cartwright,Price,Cartwright,Benezet,Priestley,Cartwright,Cartwright,Cartwright,Cartwright,Rush,Dickinson,Cartwright,Cartwright,Adams,Cartwright,Priestley,Cartwright,Cartwright,Cartwright,Cartwright,Cassandra,Jefferson,Jefferson,Jefferson,Cartwright,Cartwright,Cartwright,Witherspoon,Cartwright,Cartwright,Burke,Hopkinson,Burke,Jefferson,,Cartwright,0.685764,1.48317,,0,0.026897,0,0,0.685764,0,0.0568555,0,0,0,0.0277717,0.172097,0.0306145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LETTER XII,Cartwright,Cartwright,Cartwright,Cartwright,Francis,Price,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Wilkes,Cartwright,Cartwright,Cartwright,Price,Adams,Cartwright,Cartwright,Cartwright,Cartwright,Hopkinson,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Priestley,Cartwright,Spence,Cartwright,Cartwright,Cartwright,Cartwright,Burke,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Price,Cartwright,Cartwright,Cartwright,Paine,Adams,Cartwright,Cartwright,Cartwright,Cartwright,Wollstonecraft,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Spence,Cartwright,,Cartwright,0.972228,0.183091,,0,0,0,0,0.972228,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277717,0,0,0,0,0,0,0,0,
Postscript,Cartwright,Cassandra,Moore,Burke,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Burke,Burke,Burke,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Burke,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Hopkinson,Cartwright,Benezet,Cartwright,Hopkinson,Cartwright,Witherspoon,Cartwright,Cartwright,Cassandra,Cartwright,Hopkins,Witherspoon,Cartwright,Cartwright,Burke,Cartwright,Burke,Cartwright,Burke,Moore,Franklin,Witherspoon,Cartwright,Cartwright,Cartwright,Witherspoon,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Cartwright,Burke,Hopkinson,Cartwright,Burke,Cartwright,Cartwright,Cartwright,,Cartwright,0.824404,0.985273,,0,0,0,0.0876886,0.824404,0.0293024,0,0,0,0,0.0293024,0,0,0,0,0.0293024,0,0,0,0,0,0,0,0,0,0,0,
Apr 27 CASSANDRA TO CATO,Cassandra,Cartwright,Burke,Cassandra,Dickinson,Jefferson,Burgh,Burgh,Burke,Mackintosh,Burke,Dickinson,Cartwright,Burke,Dickinson,Dickinson,Jefferson,Jefferson,Cartwright,Burke,Jefferson,Moore,Cartwright,Paine,Burke,Rush,Wilkes,Wilkes,Cassandra,Cartwright,Paine,Dickinson,Wollstonecraft,Jefferson,Burke,Cartwright,Burke,Cassandra,Dickinson,Paine,Wollstonecraft,Paine,Cassandra,Mackintosh,Burke,Jefferson,Jefferson,Burke,Dickinson,Dickinson,Jefferson,Wollstonecraft,Cartwright,Burke,Burke,Burke,Paine,Burgh,Burgh,Burke,Wilkes,Burke,Macauley,Cartwright,Burke,Mackintosh,Dickinson,Cartwright,Burgh,,Burke,0.237262,3.10997,,0,0,0.141045,0.237262,0.17494,0.0271157,0.0277717,0,0,0,0,0.0833151,0,0,0.062541,0,0,0.088782,0,0,0.0323639,0,0,0.0942489,0,0.0306145,0,
